EPG名称,APP地址
大陆央视,#genre#
CCTV1,P2p://starvod.xyz:19806/9ceaa547a0a940f9b4525825ccc94d17
CCTV2,P2p://starvod.xyz:19806/54a9cc9d06a94654b51ade24a31a2057
CCTV3,P2p://starvod.xyz:19806/faa816398cdd4878b75c3a9e68e4888b
CCTV4,P2p://starvod.xyz:19806/7dc071c6b7e4494b8f396aeb47392763
CCTV5,P2p://starvod.xyz:19806/75ea87ba60d44befa39571a56cb7c759
CCTV5+,P2p://starvod.xyz:19806/0287cdee4ad24d9f8ded436cce0b0e0b
CCTV6,P2p://starvod.xyz:19806/0cd0f1773d9342e496494ecf4e48fb27
CCTV7,P2p://starvod.xyz:19806/84ba2a3bd64f4d00854dc9eb06ab791b
CCTV8,P2p://starvod.xyz:19806/4777cd73565743f4865090cde3769013
CCTV9,P2p://starvod.xyz:19806/f739319fda194167867fdfce3f5bc0c0
CCTV10,P2p://starvod.xyz:19806/e5b4176a203a4ccb814114ad5bac622b
CCTV11,P2p://starvod.xyz:19806/b2a6121c23264b3b902a86311451f14a
CCTV12,P2p://starvod.xyz:19806/00ed762e9d6f49248b605aa75820ec04
CCTV13,P2p://starvod.xyz:19806/63fe10e97134413486f02e407839a647
CCTV14,P2p://starvod.xyz:19806/78ca5fe33cbd44b6853f6ecb15b7b9e9
CCTV15,P2p://starvod.xyz:19806/95e3d3ac1c3341b5be12d9602035ac3b
CCTV16,P2p://starvod.xyz:19806/e8166678ff764d84a9ef288956e0b541
CCTV17,P2p://starvod.xyz:19806/8aec8ad7fa464b419e736f9cac489321
大陆省市,#genre#
北京卫视,P2p://starvod.xyz:19806/521ece48387742348af7463e7567025e
天津卫视,P2p://starvod.xyz:19806/68128f688d8c47ce83d0aebce06f41ae
河北卫视,P2p://starvod.xyz:19806/1118bbdc4c424501a24c76b5c754ae3e
黑龙江卫视,P2p://starvod.xyz:19806/463e078f0ca94c5e84fbbd38502fd295
辽宁卫视,P2p://starvod.xyz:19806/e4be6b865bf44113bfde93506fa8b8e6
东方卫视,P2p://starvod.xyz:19806/f368263ec2ea4c6cbbf010f3956192ef
江苏卫视,P2p://starvod.xyz:19806/672a23d10003c2dcccdfb146480b660a
浙江卫视,P2p://starvod.xyz:19806/0afbcf21e62442f2a94f312409a3195c
江西卫视,P2p://starvod.xyz:19806/dded7059146b4b1e8ec7e9769350076a
山东卫视,P2p://starvod.xyz:19806/5fe5206252964bfc9fdb316183bc8707
厦门卫视,P2p://starvod.xyz:19806/12d74cdf62234e92b2c799d7f8c4f3d1
湖北卫视,P2p://starvod.xyz:19806/277622ba85884bc0acf1bf921b867192
湖南卫视,P2p://starvod.xyz:19806/0a573c0d4bd74d249f16441c9f7716e0
深圳卫视,P2p://starvod.xyz:19806/44ba12b0797b4b1683314574906f8179
广东卫视,P2p://starvod.xyz:19806/200112957e7944769dd5f3b8df0dd014
广西卫视,P2p://starvod.xyz:19806/1cf5b21d6de54c14aa80dc3c32d16197
重庆卫视,P2p://starvod.xyz:19806/7a7b8112b2f34da6842b7c1cd3afcf0f
云南卫视,P2p://starvod.xyz:19806/dba7f874ca3f470ea247b32336166781
星空卫视,P2p://starvod.xyz:19806/e8fc863e98694c568c1abf29190c149c
大湾区卫视,P2p://starvod.xyz:19806/54dc89e3cb80450ba9ec6432af9bb8a8
