台湾,#genre#
民视,P2p://starvod.xyz:19806/ce7936446a624dec9b8d45e6ed7434e7.ts
人间卫视,P2p://starvod.xyz:19806/7bac0ea872a747dbabee0b59a915bb90.ts
台视,P2p://starvod.xyz:19806/f6fa6e1b13a941fc89deada975321847.ts
大爱,P2p://starvod.xyz:19806/bac07a1b4efb462f8326fc0b850ff8cf.ts
中视,P2p://starvod.xyz:19806/689200d600081f594a97b0511669550b.ts
霹雳台湾台,P2p://starvod.xyz:19806/2af92722b1854757961256c35e733bec.ts
华视,P2p://starvod.xyz:19806/ff9a1841f0ce4fa483d764b6aae70480.ts
公视,P2p://starvod.xyz:19806/6684ed4adb124525b416483c3e7bae51.ts
公视台语台,P2p://starvod.xyz:19806/885fe46c0820491d91079bb474c0c1eb.ts
好消息,P2p://starvod.xyz:19806/c3b65a16e8a645bab804070b0e3910b0.ts
原住民电视台,P2p://starvod.xyz:19806/e9a7db37b5bf46ce98e223ff8036c3cd.ts
客家电视台,P2p://starvod.xyz:19806/56b7a553f936457a9099940646b19dc4.ts
BBC Earth,P2p://starvod.xyz:19806/63eb0c76d5ae427197e301e59e291798.ts
探索频道,P2p://starvod.xyz:19806/e5d52916c13342bfac0c94bb33a41bb3.ts
动物星球,P2p://starvod.xyz:19806/69c20ede62144bcbaa35cfd957ca2179.ts
CN卡通频道,P2p://starvod.xyz:19806/0d6f7465ed7041079769001f6bed491d.ts
尼克儿童频道,P2p://starvod.xyz:19806/84ba99734be64f139ef3097d486079c2.ts
MOMO亲子台,P2p://starvod.xyz:19806/d83dd04cbb754191bb50d176ad9bb34b.ts
东森幼幼台,P2p://starvod.xyz:19806/688c8b5900088d233544c019454e6c0c.ts
纬来综合台,P2p://starvod.xyz:19806/957e1033c9de48718c1e7b541ca6c992.ts
八大第一台,P2p://starvod.xyz:19806/d8d2f6c5d9924826a8733af94d88d9e1.ts
八大综合台,P2p://starvod.xyz:19806/bde1589b217b4cccb55ff0683436d998.ts
三立台湾台,P2p://starvod.xyz:19806/dd0812f89b2d487383a7198f527ff4a0.ts
三立都会台,P2p://starvod.xyz:19806/bd05dce3211f4b73955a14f3910b7389.ts
韩国娱乐台,P2p://starvod.xyz:19806/10ec27f261d74e86919383fdb6da355c.ts
东森综合台,P2p://starvod.xyz:19806/688f5e0a000e5ed4404bc50766ce2d5c.ts
超视,P2p://starvod.xyz:19806/45241e55a10c4801b9a4f456e916e238.ts
中天综合台,P2p://starvod.xyz:19806/f2047fab30be4dcb9f2c3a482ade123a.ts
中天娱乐台,P2p://starvod.xyz:19806/e70019abac4541538b409b8143f22591.ts
东森戏剧台,P2p://starvod.xyz:19806/31b6a95f072f43e6b19c5df351360577.ts
八大戏剧台,P2p://starvod.xyz:19806/cdd6f9b07965495da0822afe7f517128.ts
TVBS欢乐台,P2p://starvod.xyz:19806/6ec4c6f7c61e49adb6caa8c4ee2079d2.ts
纬来戏剧台,P2p://starvod.xyz:19806/9acd6acd9d0345fb942827b73e19bb17.ts
高点综合台,P2p://starvod.xyz:19806/a20dac90e7d94e79bd314361c5b59eb8.ts
中天新闻台,P2p://starvod.xyz:19806/04708450393e4117a5464f3a15798c75.ts
三立iNEWS,P2p://starvod.xyz:19806/68906d930008bab4447072b85f8b0062.ts
壹电视新闻台,P2p://starvod.xyz:19806/a088c73be0cf4e859d17f6c9e5e6032d.ts
年代新闻,P2p://starvod.xyz:19806/5c91e296a2fa4dc48bc0984015e81771.ts
东森新闻台,P2p://starvod.xyz:19806/4e2bd867e652477eae849d5857c957e8.ts
华视新闻,P2p://starvod.xyz:19806/688f5f7c0003b465405167983c254a59.ts
民视新闻台,P2p://starvod.xyz:19806/593f5d7467a540fba1a6ea1b438c6ff8.ts
三立新闻台,P2p://starvod.xyz:19806/e6bda4686d054c1fb74790ede8664105.ts
TVBS新闻台,P2p://starvod.xyz:19806/b608ab000afc4cc19a467b01b6181840.ts
TVBS,P2p://starvod.xyz:19806/60c3f4874b0c4852a255220fda073aef.ts
东森财经新闻台,P2p://starvod.xyz:19806/886b2f1f29324e538b91a848f37babde.ts
非凡新闻台,P2p://starvod.xyz:19806/fa879224c7844f15a56101978ecae7b7.ts
CatchPlay电影台,P2p://starvod.xyz:19806/d6691b8d00f44a56ab9ac87e9b55c453.ts
东森电影台,P2p://starvod.xyz:19806/b48b16ca3f49416f807214fbf96abac6.ts
纬来电影台,P2p://starvod.xyz:19806/212697047bfb46bbb2628b7a480ffaa8.ts
